CSI_rMediumCoping,IndicatorTypeID,CSI_id,CSI_csHighCoping,ADM5_ID,LivelihoodZoneName,ADM4_ID,CSI_rDataSource,CSI_csLowCoping,MethodologyCs,csMethodologyID,CSI_rHighCoping,ADM0_ID,CSI_rMediumHighThreshold,CSI_csNoCoping,CSI_rLowCoping,CSI_rLowMediumThreshold,rMethodologyID,CSI_rMonth,CSI_rMean,CSI_rNoCoping,TargetGroupCs,ADM3_ID,CSI_csDataSource,ADM2_ID,TargetGroupR,CSI_csLowMediumThreshold,Lz_ID,MethodologyR,CSI_csMediumCoping,mr_id,CSI_csMean,CSI_rYear,fdc,CSI_csMediumHighThreshold,rTargetGroupID,CSI_csYear,csTargetGroupID,ADM1_ID,CSI_csMonth
8.9,1,721,,0,,0,FSMS,,,,0.8,40764,11,,10.0,5,9,2,1.03167315367259,80.3,,0,,0,16,,,"7 Days",,1944,,2009,,,16,,,2757,
13.3,1,722,,0,,0,FSMS,,,,24.7,40764,11,,6.3,5,9,2,6.2274162390627,55.7,,0,,0,15,,,"7 Days",,1944,,2009,,,15,,,2757,
2.7,1,723,,0,,0,FSMS,,,,2.2,40764,11,,11.6,5,9,2,0.739083714470633,83.5,,0,,0,17,,,"7 Days",,1944,,2009,,,17,,,2757,
20.7,1,730,,0,,0,FSMS,,,,8.2,40764,11,,17.1,5,9,5,2.99349580116351,54.0,,0,,0,16,,,"7 Days",,1944,,2009,,,16,,,2757,
8.1,1,731,,0,,0,FSMS,,,,8.2,40764,11,,23.9,5,9,5,2.59313599863318,59.8,,0,,0,15,,,"7 Days",,1944,,2009,,,15,,,2757,
2.2,1,732,,0,,0,FSMS,,,,0.6,40764,11,,5.1,5,9,5,0.450511450952907,92.1,,0,,0,17,,,"7 Days",,1944,,2009,,,17,,,2757,
6.6,1,739,,0,,0,FSMS,,,,5.8,40764,11,,34.0,5,9,8,2.25168399990871,53.6,,0,,0,16,,,"7 Days",,1944,,2009,,,16,,,2757,
6.2,1,740,,0,,0,FSMS,,,,5.6,40764,11,,8.2,5,9,8,2.39829443427687,80.0,,0,,0,15,,,"7 Days",,1944,,2009,,,15,,,2757,
6.3,1,741,,0,,0,FSMS,,,,9.5,40764,11,,8.6,5,9,8,3.39507255471882,75.6,,0,,0,17,,,"7 Days",,1944,,2009,,,17,,,2757,
8.6,1,748,,0,,0,FSMS,,,,3.2,40764,11,,54.0,5,9,11,2.35134277572211,34.2,,0,,0,16,,,"7 Days",,1944,,2009,,,16,,,2757,
10.1,1,749,,0,,0,FSMS,,,,24.1,40764,11,,3.7,5,9,11,9.17477900030617,62.1,,0,,0,15,,,"7 Days",,1944,,2009,,,15,,,2757,
7.9,1,750,,0,,0,FSMS,,,,5.8,40764,11,,5.2,5,9,11,2.09819540852131,81.1,,0,,0,17,,,"7 Days",,1944,,2009,,,17,,,2757,
4.9,1,757,,0,,0,FSMS,,,,1.1,40764,11,,21.4,5,9,2,1.25569879619972,72.6,,0,,0,16,,,"7 Days",,1944,,2010,,,16,,,2757,
15.5,1,758,,0,,0,FSMS,,,,9.1,40764,11,,6.7,5,9,2,3.34440060670627,68.7,,0,,0,15,,,"7 Days",,1944,,2010,,,15,,,2757,
7.8,1,759,,0,,0,FSMS,,,,24.7,40764,11,,3.5,5,9,2,6.49884414584325,64.0,,0,,0,17,,,"7 Days",,1944,,2010,,,17,,,2757,
13.0,1,766,,0,,0,FSMS,,,,18.7,40764,11,,8.3,5,9,5,4.76849980849743,60.0,,0,,0,16,,,"7 Days",,1944,,2010,,,16,,,2757,
4.3,1,767,,0,,0,FSMS,,,,44.1,40764,11,,0.7,5,9,5,15.5139992311635,50.9,,0,,0,15,,,"7 Days",,1944,,2010,,,15,,,2757,
9.4,1,768,,0,,0,FSMS,,,,16.9,40764,11,,10.4,5,9,5,5.07599055383936,63.3,,0,,0,17,,,"7 Days",,1944,,2010,,,17,,,2757,
9.6,1,774,,0,,0,FSMS,,,,15.3,40764,11,,14.8,5,9,8,4.19309629572787,60.3,,0,,0,16,,,"7 Days",,1944,,2010,,,16,,,2757,
5.2,1,775,,0,,0,FSMS,,,,24.1,40764,11,,5.9,5,9,8,6.44412370405325,64.8,,0,,0,15,,,"7 Days",,1944,,2010,,,15,,,2757,
5.0,1,776,,0,,0,FSMS,,,,24.0,40764,11,,2.5,5,9,8,5.32140276666899,68.5,,0,,0,17,,,"7 Days",,1944,,2010,,,17,,,2757,
9.5,1,783,,0,,0,FSMS,,,,15.7,40764,11,,9.0,5,9,11,3.74488339807363,65.8,,0,,0,16,,,"7 Days",,1944,,2010,,,16,,,2757,
15.3,1,784,,0,,0,FSMS,,,,32.9,40764,11,,8.9,5,9,11,8.30831298716559,42.9,,0,,0,15,,,"7 Days",,1944,,2010,,,15,,,2757,
9.5,1,785,,0,,0,FSMS,,,,22.0,40764,11,,0.6,5,9,11,5.1663255358731,67.9,,0,,0,17,,,"7 Days",,1944,,2010,,,17,,,2757,
14.4,1,792,,0,,0,FSMS,,,,0.9,40764,11,,16.1,5,9,2,1.79081598558288,68.6,,0,,0,15,,,"7 Days",,1944,,2011,,,15,,,2757,
11.2,1,793,,0,,0,FSMS,,,,9.5,40764,11,,8.7,5,9,2,2.67709388057455,70.6,,0,,0,17,,,"7 Days",,1944,,2011,,,17,,,2757,
11.5,1,724,,0,,0,FSMS,,,,2.1,40764,11,,30.9,5,9,2,2.12686971403609,55.5,,0,,0,16,,,"7 Days",,1944,,2009,,,16,,,2764,
19.4,1,725,,0,,0,FSMS,,,,19.9,40764,11,,5.6,5,9,2,4.08050407709414,55.1,,0,,0,15,,,"7 Days",,1944,,2009,,,15,,,2764,
5.9,1,726,,0,,0,FSMS,,,,2.2,40764,11,,53.2,5,9,2,2.23526878134856,38.7,,0,,0,17,,,"7 Days",,1944,,2009,,,17,,,2764,
19.9,1,733,,0,,0,FSMS,,,,13.5,40764,11,,16.9,5,9,5,4.67096030633628,49.7,,0,,0,16,,,"7 Days",,1944,,2009,,,16,,,2764,
14.7,1,734,,0,,0,FSMS,,,,29.2,40764,11,,24.1,5,9,5,8.41429769142918,32.0,,0,,0,15,,,"7 Days",,1944,,2009,,,15,,,2764,
23.7,1,735,,0,,0,FSMS,,,,10.8,40764,11,,10.5,5,9,5,3.61260778357265,55.0,,0,,0,17,,,"7 Days",,1944,,2009,,,17,,,2764,
