ADM0_ID,ADM5_ID,Methodology,LivelihoodZoneName,ADM4_ID,FCS_borderline,FCS_month,IndicatorTypeID,FCS_dataSource,methodologyID,FCS_year,TargetGroup,ADM3_ID,ADM2_ID,Lz_ID,mr_id,FCS_lowerThreshold,FCS_id,FCS_poor,targetGroupID,FCS_mean,FCS_upperThreshold,FCS_acceptable,ADM1_ID
138,0,"Raised Threshold: 28/42",,0,5.6,8,1,FSMS,7,2010,7,0,0,,1936,0,1789,0.5,7,78.8,0,93.9,1746
138,0,"Raised Threshold: 28/42",,0,11.4,8,1,FSMS,7,2010,8,0,0,,1936,0,1790,0.0,8,75.07,0,88.6,1746
138,0,"Raised Threshold: 28/42",,0,6.4,8,1,FSMS,7,2010,5,0,0,,1936,0,1834,0.4,5,78.282,0,93.2,1746
138,0,"Raised Threshold: 28/42",,0,29.2,3,1,FSMS,7,2011,5,0,0,,1936,0,1835,20.4,5,46.706,0,50.4,1746
138,0,"Raised Threshold: 28/42",,0,29.6,3,1,FSMS,7,2011,7,0,0,,1936,0,1791,19.0,7,47.07,0,51.4,1746
138,0,"Raised Threshold: 28/42",,0,28.2,3,1,FSMS,7,2011,8,0,0,,1936,0,1792,23.9,8,45.8,0,47.9,1746
138,0,"Raised Threshold: 28/42",,0,7.7,8,1,FSMS,7,2011,7,0,0,,1936,0,1793,1.0,7,67.86,0,91.3,1746
138,0,"Raised Threshold: 28/42",,0,12.5,8,1,FSMS,7,2011,8,0,0,,1936,0,1794,0.0,8,68.08,0,87.5,1746
138,0,"Raised Threshold: 28/42",,0,8.8,8,1,FSMS,7,2011,5,0,0,,1936,0,1836,0.8,5,67.91,0,90.4,1746
138,0,"Raised Threshold: 28/42",,0,8.8,3,1,FSMS,7,2012,5,0,0,,1936,0,1837,0.4,5,65.0,0,90.8,1746
138,0,"Raised Threshold: 28/42",,0,8.4,3,1,FSMS,7,2012,7,0,0,,1936,0,1795,0.6,7,65.28,0,91.0,1746
138,0,"Raised Threshold: 28/42",,0,9.7,3,1,FSMS,7,2012,8,0,0,,1936,0,1796,0.0,8,64.31,0,90.3,1746
138,0,"Raised Threshold: 28/42",,0,17.2,9,1,FSMS,7,2012,7,0,0,,1936,0,1797,12.9,7,53.17,0,69.9,1746
138,0,"Raised Threshold: 28/42",,0,36.6,9,1,FSMS,7,2012,8,0,0,,1936,0,1798,17.1,8,46.65,0,46.3,1746
138,0,"Raised Threshold: 28/42",,0,20.4,9,1,FSMS,7,2012,5,0,0,,1936,0,1838,13.6,5,52.1,0,66.0,1746
138,0,"Raised Threshold: 28/42",,0,1.6,8,1,FSMS,7,2010,7,0,0,,1936,0,1739,0.0,7,88.58,0,98.4,1747
138,0,"Raised Threshold: 28/42",,0,7.4,8,1,FSMS,7,2010,8,0,0,,1936,0,1740,0.0,8,78.84,0,92.6,1747
138,0,"Raised Threshold: 28/42",,0,3.2,8,1,FSMS,7,2010,5,0,0,,1936,0,1809,0.0,5,85.932,0,96.8,1747
138,0,"Raised Threshold: 28/42",,0,10.4,3,1,FSMS,7,2011,5,0,0,,1936,0,1810,2.0,5,69.858,0,87.6,1747
138,0,"Raised Threshold: 28/42",,0,8.4,3,1,FSMS,7,2011,7,0,0,,1936,0,1741,2.2,7,70.8,0,89.4,1747
138,0,"Raised Threshold: 28/42",,0,15.5,3,1,FSMS,7,2011,8,0,0,,1936,0,1742,1.4,8,67.47,0,83.1,1747
138,0,"Raised Threshold: 28/42",,0,5.3,8,1,FSMS,7,2011,7,0,0,,1936,0,1743,0.8,7,79.0,0,93.9,1747
138,0,"Raised Threshold: 28/42",,0,13.6,8,1,FSMS,7,2011,8,0,0,,1936,0,1744,0.9,8,70.48,0,85.5,1747
138,0,"Raised Threshold: 28/42",,0,9.2,8,1,FSMS,7,2011,5,0,0,,1936,0,1811,0.8,5,75.014,0,90.0,1747
138,0,"Raised Threshold: 28/42",,0,4.4,3,1,FSMS,7,2012,5,0,0,,1936,0,1812,1.8,5,74.384,0,93.8,1747
138,0,"Raised Threshold: 28/42",,0,3.4,3,1,FSMS,7,2012,7,0,0,,1936,0,1745,0.7,7,76.28,0,95.9,1747
138,0,"Raised Threshold: 28/42",,0,5.7,3,1,FSMS,7,2012,8,0,0,,1936,0,1746,2.9,8,71.77,0,91.4,1747
138,0,"Raised Threshold: 28/42",,0,5.8,9,1,FSMS,7,2012,7,0,0,,1936,0,1747,0.8,7,77.48,0,93.4,1747
138,0,"Raised Threshold: 28/42",,0,2.3,9,1,FSMS,7,2012,8,0,0,,1936,0,1748,1.6,8,79.22,0,96.1,1747
138,0,"Raised Threshold: 28/42",,0,4.0,9,1,FSMS,7,2012,5,0,0,,1936,0,1813,1.2,5,78.38,0,94.8,1747
138,0,"Raised Threshold: 28/42",,0,7.4,8,1,FSMS,7,2010,7,0,0,,1936,0,1779,1.0,7,65.31,0,91.6,1748
138,0,"Raised Threshold: 28/42",,0,15.2,8,1,FSMS,7,2010,8,0,0,,1936,0,1780,6.5,8,60.36,0,78.3,1748
138,0,"Raised Threshold: 28/42",,0,8.8,8,1,FSMS,7,2010,5,0,0,,1936,0,1829,2.0,5,64.398,0,89.2,1748
138,0,"Raised Threshold: 28/42",,0,26.8,3,1,FSMS,7,2011,5,0,0,,1936,0,1830,7.8,5,52.6158,0,65.4,1748
138,0,"Raised Threshold: 28/42",,0,23.0,3,1,FSMS,7,2011,7,0,0,,1936,0,1781,8.2,7,53.55,0,68.8,1748
138,0,"Raised Threshold: 28/42",,0,40.0,3,1,FSMS,7,2011,8,0,0,,1936,0,1782,6.0,8,49.44,0,54.0,1748
138,0,"Raised Threshold: 28/42",,0,1.6,8,1,FSMS,7,2011,7,0,0,,1936,0,1783,0.0,7,76.82,0,98.4,1748
138,0,"Raised Threshold: 28/42",,0,0.0,8,1,FSMS,7,2011,8,0,0,,1936,0,1784,0.0,8,77.76,0,100.0,1748
138,0,"Raised Threshold: 28/42",,0,1.3,8,1,FSMS,7,2011,5,0,0,,1936,0,1831,0.0,5,76.9891,0,98.7,1748
138,0,"Raised Threshold: 28/42",,0,11.2,3,1,FSMS,7,2012,5,0,0,,1936,0,1832,0.4,5,64.3,0,88.4,1748
138,0,"Raised Threshold: 28/42",,0,6.7,3,1,FSMS,7,2012,7,0,0,,1936,0,1785,0.0,7,67.26,0,93.3,1748
138,0,"Raised Threshold: 28/42",,0,22.2,3,1,FSMS,7,2012,8,0,0,,1936,0,1786,1.4,8,56.97,0,76.4,1748
138,0,"Raised Threshold: 28/42",,0,22.6,9,1,FSMS,7,2012,7,0,0,,1936,0,1787,11.1,7,54.38,0,66.3,1748
138,0,"Raised Threshold: 28/42",,0,36.7,9,1,FSMS,7,2012,8,0,0,,1936,0,1788,18.3,8,45.37,0,45.0,1748
138,0,"Raised Threshold: 28/42",,0,26.0,9,1,FSMS,7,2012,5,0,0,,1936,0,1833,12.8,5,52.22,0,61.2,1748
138,0,"Raised Threshold: 28/42",,0,2.0,8,1,FSMS,7,2010,7,0,0,,1936,0,1749,0.0,7,79.85,0,98.0,1749
138,0,"Raised Threshold: 28/42",,0,7.5,8,1,FSMS,7,2010,8,0,0,,1936,0,1750,0.0,8,74.42,0,92.5,1749
138,0,"Raised Threshold: 28/42",,0,3.2,8,1,FSMS,7,2010,5,0,0,,1936,0,1814,0.0,5,78.702,0,96.8,1749
138,0,"Raised Threshold: 28/42",,0,1.6,3,1,FSMS,7,2011,5,0,0,,1936,0,1815,0.0,5,72.234,0,98.4,1749
138,0,"Raised Threshold: 28/42",,0,0.6,3,1,FSMS,7,2011,7,0,0,,1936,0,1751,0.0,7,73.15,0,99.4,1749
138,0,"Raised Threshold: 28/42",,0,3.8,3,1,FSMS,7,2011,8,0,0,,1936,0,1752,0.0,8,70.21,0,96.2,1749
138,0,"Raised Threshold: 28/42",,0,11.3,8,1,FSMS,7,2011,7,0,0,,1936,0,1753,4.1,7,59.44,0,84.6,1749
138,0,"Raised Threshold: 28/42",,0,16.1,8,1,FSMS,7,2011,8,0,0,,1936,0,1754,7.1,8,55.39,0,76.8,1749
138,0,"Raised Threshold: 28/42",,0,12.4,8,1,FSMS,7,2011,5,0,0,,1936,0,1816,4.8,5,58.53,0,82.8,1749
